item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2024-Q03,2024,3,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE_OFFICIAL,OFFICIAL_HBCSE_KEY,,25,NT,IOQM-G9-NT-02,,last digits;modular powers,,,,,,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,,,,,,,true,FRESH_TOPIC_AUDIT_PASS,HIGH,
IOQM-2024-Q23,2024,23,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE_OFFICIAL,OFFICIAL_HBCSE_KEY,,31,NT,IOQM-G9-NT-02,,distinct residues;fourth powers,,,,,,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,,,,,,,true,FRESH_TOPIC_AUDIT_PASS,HIGH,
IOQM-2025-Q20,2025,20,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,,42,NT,IOQM-G9-NT-02,,modular periodicity;power cycles,,,,,,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,,,,,,,true,FRESH_TOPIC_AUDIT_PASS,HIGH,
NT02-LAB-001,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-002,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-003,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-004,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-005,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-006,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-007,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-008,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-009,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-010,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-011,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-012,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-013,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-014,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-015,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-LAB-016,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-P-001,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_TRANSFER,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-P-002,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_TRANSFER,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-P-003,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_TRANSFER,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
NT02-P-004,,,,,,,,,NT,IOQM-G9-NT-02,,,,,,,,,,AUTHOR_CREATED_TRANSFER,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
