outcome_id,outcome,bucket,syllabus_status,exact_claim_supported,document,chapter_or_section,url,access_date
OUT-B01-01,Name the observer/reference frame for a motion description.,B01,CBSE_OPTIONAL_ADVANCED,Advanced Ch 2 §2.2 states motion needs a reference point/frame and Activity 2.2 treats motion as relative.,ScienceAd_SecP1_2026-27.pdf,pp.10–11 (viewer 9–10),https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/ScienceAd_SecP1_2026-27.pdf,2026-09-15
OUT-B01-02,"Choose axes, positive directions and an origin for a planar diagram.",B01,CBSE_OPTIONAL_ADVANCED,"Advanced Ch 2 §§2.3–2.4 introduces vectors and graphical addition; axes/origin are an enabling representation convention, not a separately named Standard outcome.",ScienceAd_SecP1_2026-27.pdf,pp.11–12 (viewer 10–11),https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/ScienceAd_SecP1_2026-27.pdf,2026-09-15
OUT-B01-03,Use one shared clock for simultaneous planar comparisons.,B01,REQUESTED_ENRICHMENT,Neither cited Standard Motion outcome nor Advanced §2.2 explicitly teaches shared-clock collision algebra; added for requested meeting/relative-motion tasks.,Assignment contract,§1/§6,OWNER_INPUT,2026-09-15
OUT-B02-01,Differentiate distance and displacement; speed and velocity.,B02,CBSE_STANDARD,Standard Motion learning outcomes explicitly require differentiation between distance/displacement and speed/velocity for straight-line motion.,ScienceSt_SecP1_2026-27.pdf,p.14 (viewer 13),https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/ScienceSt_SecP1_2026-27.pdf,2026-09-15
OUT-B02-02,Extend distance/displacement and average velocity to a two-leg planar path.,B02,CBSE_OPTIONAL_ADVANCED,Advanced §2.4 adds displacements graphically and includes a coordinate-based travel practice item; two-dimensional numerical treatment is beyond the stated Standard straight-line outcome.,ScienceAd_SecP1_2026-27.pdf,pp.11–12 (viewer 10–11),https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/ScienceAd_SecP1_2026-27.pdf,2026-09-15
OUT-B03-01,Compute signed x/y coordinate changes and reconstruct a vector magnitude with a right triangle.,B03,CBSE_OPTIONAL_ADVANCED,Advanced §§2.3–2.4 introduces vectors and graphical resultant construction; the exact component-algebra bridge here is a learner-friendly realization of that optional vector work.,ScienceAd_SecP1_2026-27.pdf,pp.11–12 (viewer 10–11),https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/ScienceAd_SecP1_2026-27.pdf,2026-09-15
OUT-B04-01,"Represent constant planar motion with x/y tables and separate x(t), y(t) graphs sharing time.",B04,REQUESTED_ENRICHMENT,Standard explicitly covers straight-line graphs; this two-coordinate shared-time extension is requested enrichment.,ScienceSt_SecP1_2026-27.pdf,p.14 (viewer 13),https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/ScienceSt_SecP1_2026-27.pdf,2026-09-15
OUT-B05-01,Describe one-dimensional motion as relative to an observer.,B05,CBSE_OPTIONAL_ADVANCED,Advanced Activity 2.2 explicitly compares how two students describe each other’s motion and notes equal same-direction speeds appear at rest relative to one another.,ScienceAd_SecP1_2026-27.pdf,p.11 (viewer 10),https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/ScienceAd_SecP1_2026-27.pdf,2026-09-15
OUT-B05-02,"Calculate 1D relative velocity using target minus observer, signs and consistent units.",B05,REQUESTED_ENRICHMENT,Advanced introduces relative motion conceptually but the cited section does not state this subtraction formula as an examination requirement; included for requested corpus.,Assignment contract,§6,OWNER_INPUT,2026-09-15
OUT-B06-01,Calculate two-dimensional relative velocity by component subtraction and reverse the observer.,B06,REQUESTED_ENRICHMENT,"Advanced vector work supports graphical subtraction, but the full 2D relative-velocity model is requested enrichment.",ScienceAd_SecP1_2026-27.pdf,end-Chapter 2 check p.15 viewer 14 asks graphical vector subtraction,https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/ScienceAd_SecP1_2026-27.pdf,2026-09-15
OUT-B07-01,Test meeting by solving x and y equality at one same time.,B07,REQUESTED_ENRICHMENT,No cited Standard/Advanced passage establishes two-coordinate collision equations as required Grade 9 examination content.,Assignment contract,§6,OWNER_INPUT,2026-09-15
OUT-B07-02,Explain why crossing paths need not mean collision.,B07,REQUESTED_ENRICHMENT,Concept follows requested simultaneous-time reasoning; not mapped to an official exam requirement in the cited documents.,Assignment contract,§6,OWNER_INPUT,2026-09-15
OUT-B08-01,Compose boat/water/ground velocities and use across-river component for crossing time.,B08,REQUESTED_ENRICHMENT,Specific boat/current application is not established by the cited CBSE passages; included as requested model transfer.,Assignment contract,§5/§6,OWNER_INPUT,2026-09-15
OUT-B08-02,Find rain velocity relative to a moving observer and interpret apparent horizontal motion.,B08,REQUESTED_ENRICHMENT,Specific rain/observer application is not established by the cited CBSE passages; included as requested model transfer.,Assignment contract,§5/§6,OWNER_INPUT,2026-09-15
OUT-B08-03,Diagnose underdetermined relative-motion prompts instead of inventing directions.,B08,REQUESTED_ENRICHMENT,"Scientific source-quality handling is a task requirement, not an official CBSE examination claim.",Assignment contract,Q12 handling,OWNER_INPUT,2026-09-15
OUT-B08-04,Find closest approach without calculus using a table/completing a square.,B08,REQUESTED_ENRICHMENT,Explicitly labelled enrichment by owner contract; not baseline syllabus.,Assignment contract,§1/Q08(c),OWNER_INPUT,2026-09-15
