item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q16,2025,16,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE,FINAL_OFFICIAL,5,22,ALG,IOQM-G9-ALG-03,,roots;factor_reconstruction,function combination,requested information selects polynomial representation,combine to expose quadratic root structure,ALG01 interface,representation-choice,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Exact historical stem remains source-controlled
IOQM-2025-Q24,2025,24,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE,FINAL_OFFICIAL,5,53,ALG,IOQM-G9-ALG-03,,polynomial_reduction;remainder,huge power plus divisor,requested information selects polynomial representation,factor divisor and reduce,ALG01 interface,representation-choice,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Exact historical stem remains source-controlled
IOQM-2024-Q24,2024,24,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE,OFFICIAL_HBCSE_KEY,5,50,ALG,IOQM-G9-ALG-03,,coefficient_structure;finite_polynomial_audit,binary coefficient structure,requested information selects polynomial representation,convert coefficient condition to finite structure,ALG01 interface,representation-choice,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Exact historical stem remains source-controlled
IOQM-2023-Q12,2023,12,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,3,18,ALG,IOQM-G9-ALG-03,,cubic_identity;elimination,sum of cubes relation,requested information selects polynomial representation,factor identity and filter branches,ALG01 interface,representation-choice,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Exact historical stem remains source-controlled
ALG03-P01,,,,,,,,,ALG,IOQM-G9-ALG-03,,polynomial_representation,authored practice surface,requested information selects representation,apply topic-wide router,ALG01 interface;F0 polynomial algebra,solve-vs-invariant,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 1; classroom metrics NOT_RUN
ALG03-P02,,,,,,,,,ALG,IOQM-G9-ALG-03,,Vieta;symmetric_invariants,authored practice surface,requested information selects representation,apply topic-wide router,ALG01 interface;F0 polynomial algebra,solve-vs-invariant,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 2; classroom metrics NOT_RUN
ALG03-P03,,,,,,,,,ALG,IOQM-G9-ALG-03,,Vieta;symmetric_invariants,authored practice surface,requested information selects representation,apply topic-wide router,ALG01 interface;F0 polynomial algebra,solve-vs-invariant,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 3; classroom metrics NOT_RUN
ALG03-P04,,,,,,,,,ALG,IOQM-G9-ALG-03,,discriminant;root_behavior,authored practice surface,requested information selects representation,apply topic-wide router,ALG01 interface;F0 polynomial algebra,discriminant-vs-vertex,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 4; classroom metrics NOT_RUN
ALG03-P05,,,,,,,,,ALG,IOQM-G9-ALG-03,,remainder_factor_theorem,authored practice surface,requested information selects representation,apply topic-wide router,ALG01 interface;F0 polynomial algebra,solve-vs-invariant,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 5; classroom metrics NOT_RUN
ALG03-P06,,,,,,,,,ALG,IOQM-G9-ALG-03,,Vieta;symmetric_invariants,authored practice surface,requested information selects representation,apply topic-wide router,ALG01 interface;F0 polynomial algebra,solve-vs-invariant,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 6; classroom metrics NOT_RUN
