item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2024-Q21,2024,21,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE_OFFICIAL,OFFICIAL_HBCSE_KEY,5,91,ALG,IOQM-G9-ALG-07,NT,floor;digit permutation,,,invert floor intervals,,,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,,,,,,,true,FRESH_TOPIC_AUDIT_PASS,HIGH,Independent 91; ledger PASS.
IOQM-2024-Q26,2024,26,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE_OFFICIAL,OFFICIAL_HBCSE_KEY,5,33,ALG,IOQM-G9-ALG-07,,floor equation;interval cases,,,n=floor(x); endpoint feasibility,,,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,,,,,,,true,FRESH_TOPIC_AUDIT_PASS,HIGH,Independent 33; ledger PASS.
ALG07-LAB-001,,,,,,,,,ALG,IOQM-G9-ALG-07,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
ALG07-LAB-002,,,,,,,,,ALG,IOQM-G9-ALG-07,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
ALG07-LAB-003,,,,,,,,,ALG,IOQM-G9-ALG-07,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
ALG07-LAB-004,,,,,,,,,ALG,IOQM-G9-ALG-07,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
ALG07-LAB-005,,,,,,,,,ALG,IOQM-G9-ALG-07,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
ALG07-LAB-006,,,,,,,,,ALG,IOQM-G9-ALG-07,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
ALG07-LAB-007,,,,,,,,,ALG,IOQM-G9-ALG-07,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
ALG07-LAB-008,,,,,,,,,ALG,IOQM-G9-ALG-07,,,,,,,,,,AUTHOR_CREATED_RECOGNITION,,,,,,,true,LEAD_STATIC_REVIEW_PASS,,
