item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
COMB04-R01,,,,,,,,,COMB,IOQM-G9-COMB-04,,parity invariant;reachability recognition,toggle four lamps;target reachability,parity of on-count is preserved,compare one-move parity effect before simulation,odd/even arithmetic,simulation vs invariant,false,AUTHOR_CREATED,AUTHOR_CREATED_WAVE4,LEARNER_RECOGNITION,DIAGNOSTIC_KEYED,LOW,LOW,LOW,LOW,false,LEAD_STATIC_REVIEWED,HIGH,Key B; independent Wave-5 audit NOT_RUN.
COMB04-R02,,,,,,,,,COMB,IOQM-G9-COMB-04,,monovariant diagnosis,quantity never increases;zero-change move exists,nonstrict monotonicity does not imply termination,test strictness and boundedness,inequalities;finite processes,monovariant vs invariant;termination vs no conclusion,false,AUTHOR_CREATED,AUTHOR_CREATED_WAVE4,LEARNER_RECOGNITION,DIAGNOSTIC_KEYED,MEDIUM,LOW,LOW,MEDIUM,false,LEAD_STATIC_REVIEWED,HIGH,Key C; independent Wave-5 audit NOT_RUN.
COMB04-R03,,,,,,,,,COMB,IOQM-G9-COMB-04,,winning/losing states;terminal seeding,two players;optimal play;force,W/L recursion depends on exact terminal rule,define complete state and seed terminal outcomes,turn-taking games,reachability vs forceability,false,AUTHOR_CREATED,AUTHOR_CREATED_WAVE4,LEARNER_RECOGNITION,DIAGNOSTIC_KEYED,LOW,MEDIUM,LOW,LOW,false,LEAD_STATIC_REVIEWED,HIGH,Key B.
COMB04-R04,,,,,,,,,COMB,IOQM-G9-COMB-04,,invariant sufficiency boundary,start and target share invariant value,matching invariant is compatibility only,seek construction or completeness proof,invariant proof,necessity vs sufficiency,false,AUTHOR_CREATED,AUTHOR_CREATED_WAVE4,LEARNER_RECOGNITION,DIAGNOSTIC_KEYED,MEDIUM,LOW,LOW,MEDIUM,false,LEAD_STATIC_REVIEWED,HIGH,Key C.
COMB04-R05,,,,,,,,,COMB,IOQM-G9-COMB-04,GEO,colour/residue invariant;move equations,local triangular moves;periodic pattern,weights must cancel on every move,derive weights from local move equations,parity;residue retrieval,decorative colouring vs derived invariant,false,AUTHOR_CREATED,AUTHOR_CREATED_WAVE4,LEARNER_RECOGNITION,DIAGNOSTIC_KEYED,MEDIUM,MEDIUM,LOW,MEDIUM,false,LEAD_STATIC_REVIEWED,HIGH,Key B.
COMB04-R06,,,,,,,,,COMB,IOQM-G9-COMB-04,,construction;inductive extension,"bases n=2,3;extension n to n+2",coverage of residue classes plus property preservation,check both bases and legal extension,elementary induction,examples vs covering construction,false,AUTHOR_CREATED,AUTHOR_CREATED_WAVE4,LEARNER_RECOGNITION,DIAGNOSTIC_KEYED,MEDIUM,MEDIUM,LOW,MEDIUM,false,LEAD_STATIC_REVIEWED,HIGH,Key B.
COMB04-L01,,,,,,,,,COMB,IOQM-G9-COMB-04,,linear/parity invariant;move effect,"three boxes;delta (-2,+1,+1) up to permutation",total count and candidate linear combinations,write state and arbitrary move delta,integer arithmetic,simulation vs invariant,false,AUTHOR_CREATED,AUTHOR_CREATED_WAVE4,LEARNER_FIRST_LINE,DIAGNOSTIC_KEYED,LOW,MEDIUM,LOW,LOW,false,LEAD_STATIC_REVIEWED,HIGH,
COMB04-L02,,,,,,,,,COMB,IOQM-G9-COMB-04,,monovariant;inversion count,adjacent inverted swap,inversion count decreases exactly one,define inversion count,ordering;pair counts,termination vs winner,false,AUTHOR_CREATED,AUTHOR_CREATED_WAVE4,LEARNER_FIRST_LINE,DIAGNOSTIC_KEYED,MEDIUM,MEDIUM,LOW,MEDIUM,false,LEAD_STATIC_REVIEWED,HIGH,
COMB04-L03,,,,,,,,,COMB,IOQM-G9-COMB-04,,W/L recursion;terminal states,remove 1 or 2;last wins,normal-play terminal 0 is L for player to move,seed terminal state then classify backward,basic game states,path vs strategy,false,AUTHOR_CREATED,AUTHOR_CREATED_WAVE4,LEARNER_FIRST_LINE,DIAGNOSTIC_KEYED,LOW,MEDIUM,LOW,LOW,false,LEAD_STATIC_REVIEWED,HIGH,
COMB04-L04,,,,,,,,,COMB,IOQM-G9-COMB-04,,periodic colour invariant;F2 move vector,cycle;toggle three consecutive lamps,weights satisfy c_i+c_{i+1}+c_{i+2}=0 mod2,write weight equations for every move,parity;binary states,parity vs richer colour signature,false,AUTHOR_CREATED,AUTHOR_CREATED_WAVE4,LEARNER_FIRST_LINE,DIAGNOSTIC_KEYED,MEDIUM,HIGH,LOW,HIGH,false,LEAD_STATIC_REVIEWED,HIGH,
