item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q08,2025,8,https://drive.google.com/file/d/13_o0QUmfqZJxc7IWrz6yqKivuyVC-wku/view,https://drive.google.com/file/d/18jKJ_2rUxgOlbg-2If_-oHzcH8JxzwT5/view,MTAI_OFFICIAL_SHARED_DRIVE,FINAL_OFFICIAL,2,48,COMB,IOQM-G9-COMB-02,GEO,proper_vertex_colouring;graph_modelling,quadrilateral boundary plus AC; four named colours,conflict graph is K4 minus BD,define vertices/edges; count proper colourings,COMB01 counting model,proper vs unrestricted colouring,false,CLEAN_OFFICIAL_VISUAL_CLOSED,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,LOW,MEDIUM,LOW,MEDIUM,true,INDEPENDENT_STATIC_REVIEWED,HIGH,"Official M1 page 3 rendered at 200 dpi; text-only, no printed figure; audit PASS."
IOQM-2025-Q29,2025,29,https://drive.google.com/file/d/13_o0QUmfqZJxc7IWrz6yqKivuyVC-wku/view,https://drive.google.com/file/d/18jKJ_2rUxgOlbg-2If_-oHzcH8JxzwT5/view,MTAI_OFFICIAL_SHARED_DRIVE,FINAL_OFFICIAL,5,19,COMB,IOQM-G9-COMB-02,,cycle_power_colouring;cyclic_closure;pigeonhole,regular polygon; any five consecutive vertices distinct; at most six colours,equal colours cyclically separated by at least five positions,model C_n^4; bound colour-class size,COMB01 counting model,linear local rule vs cyclic closure,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,HIGH,HIGH,MEDIUM,HIGH,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Exact official M1 stem and final key checked; audit PASS.
IOQM-2024-Q09,2024,9,https://drive.google.com/file/d/1z7-3fJuk5BW9zx9SUEumcnuuE080pQJq/view,https://drive.google.com/file/d/1Li9nwrQ5to5OEkyEbCL9Q1AM2oa5rYsm/view,MTAI_OFFICIAL_SHARED_DRIVE,FINAL_OFFICIAL,2,48,COMB,IOQM-G9-COMB-02,,knight_graph;edge_count;double_count,5x5 grid; textual knight-pair definition,each edge is one legal knight-move pair,count bounding rectangles or sum degrees/2,COMB01 counting model,ordered moves vs unordered pairs,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,LOW,MEDIUM,LOW,MEDIUM,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Exact official English stem checked; audit PASS.
IOQM-2024-Q19,2024,19,https://drive.google.com/file/d/1z7-3fJuk5BW9zx9SUEumcnuuE080pQJq/view,https://drive.google.com/file/d/1Li9nwrQ5to5OEkyEbCL9Q1AM2oa5rYsm/view,MTAI_OFFICIAL_SHARED_DRIVE,FINAL_OFFICIAL,3,12,COMB,IOQM-G9-COMB-02,GEO,ramsey_forcing;edge_colouring;cycle_structure,five points; every pair joined; red/blue; no monochromatic triangle,each vertex has two red and two blue incident edges,fix a vertex and force local degree pattern,COMB01 counting model,raw 2^10 enumeration vs Ramsey structure,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,MEDIUM,HIGH,MEDIUM,HIGH,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Exact official English stem checked; audit PASS.
IOQM-2023-Q16,2023,16,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,3,94,COMB,IOQM-G9-COMB-02,GEO,forbidden_subgraph;inclusion_exclusion;edge_colouring,convex hexagon; red boundary; red/blue diagonals,only alternating triples can be all-diagonal triangles,identify forbidden all-blue triangles before counting,COMB01 counting model,independent choices vs forbidden subgraph,false,CLEAN_VALIDATED_VISUAL_CLOSED,HISTORICAL_VALIDATED_PYQ,SOURCE_PATTERN_ANCHOR,PYQ_ANCHOR,MEDIUM,HIGH,MEDIUM,HIGH,true,INDEPENDENT_STATIC_REVIEWED,HIGH,"Official page 5 screenshot inspected; text-only, no printed figure; audit PASS."
IOQM-2023-Q22,2023,22,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,5,77,COMB,IOQM-G9-COMB-02,GEO,incidence_counting;region_count;concurrency;ceva,equilateral triangle; side pegs; four cevians; nine regions,region count depends on intersection multiplicities,classify cevian-family distributions; count intersections/concurrencies,COMB01 counting model,metric drawing vs incidence structure,false,CLEAN_VALIDATED_PAGE_VISUAL_PENDING,HISTORICAL_VALIDATED_PYQ,SOURCE_MAP_ONLY_UNTIL_VISUAL_CUSTODY,PYQ_ANCHOR,HIGH,HIGH,HIGH,HIGH,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Exact controlled text and embedded key checked; independent audit PASS; exact page-image confirmation still pending.
COMB02-R01,,,,,,,,,COMB,IOQM-G9-COMB-02,,recognition;representation,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab item 1; synchronized teacher key.
COMB02-R02,,,,,,,,,COMB,IOQM-G9-COMB-02,,recognition;representation,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab item 2; synchronized teacher key.
COMB02-R03,,,,,,,,,COMB,IOQM-G9-COMB-02,,recognition;representation,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab item 3; synchronized teacher key.
COMB02-R04,,,,,,,,,COMB,IOQM-G9-COMB-02,,recognition;representation,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab item 4; synchronized teacher key.
