item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q01,2025,1,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,40,ALG,IOQM-G9-ALG-01,,target_translation;representation_choice,percentage relation,requested quantity is algebraically same invariant,translate relation,F0 algebra,solve-vs-transform,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,LOW,MEDIUM,LOW,MEDIUM,true,SECOND_PASS_STEM_REVIEWED,HIGH,Exact stem stays source-controlled
IOQM-2025-Q21,2025,21,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,5,49,ALG,IOQM-G9-ALG-01,,low_degree_relation;integer_structure,consecutive-square relation,structure before calculation,form low-degree relation,F0 algebra,solve-vs-transform,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,MEDIUM,HIGH,HIGH,HIGH,true,SECOND_PASS_STEM_REVIEWED,MEDIUM,Primary ownership unchanged
IOQM-2024-Q05,2024,5,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE_OFFICIAL,OFFICIAL_HBCSE_KEY,2,01,ALG,IOQM-G9-ALG-01,,substitution;identity,ratio expressions,product-one substitution exposes identity,set ratio variables,F0 algebra,substitute-vs-expand,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,MEDIUM,HIGH,MEDIUM,HIGH,true,SECOND_PASS_STEM_REVIEWED,MEDIUM,Primary ownership unchanged
IOQM-2024-Q11,2024,11,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE_OFFICIAL,OFFICIAL_HBCSE_KEY,3,12,ALG,IOQM-G9-ALG-01,,substitution;target_reconstruction,reciprocal structures,transformed variables reveal equality,set reciprocal variables,F0 rational algebra,solve-vs-reconstruct,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,MEDIUM,HIGH,HIGH,HIGH,true,SECOND_PASS_STEM_REVIEWED,MEDIUM,Primary ownership unchanged
ALG01-P01,,,,,,,,,ALG,IOQM-G9-ALG-01,,factorisation,difference of squares,product structure is cheapest,factor,F0 algebra,expand-vs-factor,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 1; classroom metrics NOT_RUN
ALG01-P02,,,,,,,,,ALG,IOQM-G9-ALG-01,,expansion,binomial square,coefficient form is requested,expand,F0 algebra,expand-vs-factor,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 2
ALG01-P03,,,,,,,,,ALG,IOQM-G9-ALG-01,,symmetry,sum-product data,symmetric target does not need individual roots,reconstruct,F0 algebra,solve-vs-transform,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 3
ALG01-P04,,,,,,,,,ALG,IOQM-G9-ALG-01,,factorisation,numeric square difference,product structure,factor,F0 algebra,expand-vs-factor,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 4
ALG01-P05,,,,,,,,,ALG,IOQM-G9-ALG-01,,identity,all-input equality,identity is globally true,classify,F0 algebra,identity-vs-relation,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 5
ALG01-P06,,,,,,,,,ALG,IOQM-G9-ALG-01,,factorisation,numeric square difference,product structure,factor,F0 algebra,expand-vs-factor,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 6
