item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q28,2025,28,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,5,91,ALG,IOQM-G9-ALG-06,NT,nested_radical;domain;reversible_squaring;integer_filter,nested radical; nonsquare a; integer variables,irrational separation forces y=0; triangular-number parameter,preserve nesting; record signs,ALG01 equivalence,nested/simple; reversible/one-way square,false,CLEAN_OFFICIAL_OVERLAY_REQUIRED,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,MEDIUM,HIGH,MEDIUM,HIGH,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Exact nested stem controlled by correction overlay; audit PASS.
IOQM-2023-Q02,2023,2,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,2,54,ALG,IOQM-G9-ALG-06,NT,reciprocal_logs;exponent_conversion;integer_count,log_a b and log_b a,t and 1/t,set t=log_a b after domain check,ALG01 substitution,log manipulation/exponent structure,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,HIGH,MEDIUM,MEDIUM,HIGH,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Audit PASS; 43 square + 11 cube pairs.
ALG06-R01,,,,,,,,,ALG,IOQM-G9-ALG-06,,recognition;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab 1; synchronized teacher key.
ALG06-R02,,,,,,,,,ALG,IOQM-G9-ALG-06,,recognition;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab 2; synchronized teacher key.
ALG06-R03,,,,,,,,,ALG,IOQM-G9-ALG-06,,recognition;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab 3; synchronized teacher key.
ALG06-R04,,,,,,,,,ALG,IOQM-G9-ALG-06,,recognition;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab 4; synchronized teacher key.
ALG06-R05,,,,,,,,,ALG,IOQM-G9-ALG-06,,recognition;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab 5; synchronized teacher key.
ALG06-R06,,,,,,,,,ALG,IOQM-G9-ALG-06,,recognition;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab 6; synchronized teacher key.
ALG06-R07,,,,,,,,,ALG,IOQM-G9-ALG-06,,recognition;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab 7; synchronized teacher key.
ALG06-R08,,,,,,,,,ALG,IOQM-G9-ALG-06,,recognition;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab 8; synchronized teacher key.
