item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q03,2025,03,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,18,NT,IOQM-G9-NT-04,ALG;GEO,factor pairs;integer optimization,integer rectangle; fixed area; minimum perimeter,integrality discretizes a continuous-looking optimization,list positive factor pairs of 20 and compare 2(a+b),,continuous optimum vs discrete factor pairs,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,STATIC_SECOND_ROUTE_REVIEWED,HIGH,
IOQM-2025-Q11,2025,11,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,3,26,NT,IOQM-G9-NT-04,NT,rational approximation;coprime denominator bound,reduced fraction nearest 3/4; denominator at most 15,distance numerator |4a-3b| is a nonzero integer,"minimize |4a-3b|, then maximize allowed denominator under that determinant",,decimal approximation vs exact determinant,false,KEY_CORRECTED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,STATIC_SECOND_ROUTE_REVIEWED,HIGH,Final official key corrected provisional 61 to 26; independent verification agrees with 26.
IOQM-2024-Q13,2024,13,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE_OFFICIAL,OFFICIAL_HBCSE_KEY,3,19,NT,IOQM-G9-NT-04,,Diophantine factorization;integer system,positive integer system plus fixed sum,rearrangement produces factor structure and finite cases,"rewrite the equation to expose (a-b)(c-1)=66, then combine with a+b+c=32",,three-variable search vs factorization,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,STATIC_SECOND_ROUTE_REVIEWED,HIGH,
IOQM-2023-Q03,2023,03,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,2,23,NT,IOQM-G9-NT-04,,rational approximation;integer inequalities,fraction trapped between two rationals; minimize denominator,cross multiplication turns closeness into integer gap constraints,test denominator from small upward using exact inequalities,,decimal approximation vs determinant/integer gaps,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,STATIC_SECOND_ROUTE_REVIEWED,HIGH,
IOQM-2023-Q04,2023,04,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,2,07,NT,IOQM-G9-NT-04,,Diophantine factorization;divisibility,x^4 relation in positive integers,"mod x-1, x^4+1 leaves remainder 2","from x^4+1=(x-1)(y^3-23), infer x-1 divides 2",,stale x/4 metadata vs validated x^4 paper stem,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,STATIC_SECOND_ROUTE_REVIEWED,HIGH,"Metadata correction overlay applies: paper has x^4, not x/4; historical source remains clean."
IOQM-2023-Q11,2023,11,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,3,14,NT,IOQM-G9-NT-04,,quadratic Diophantine;factorization;bounds,m^2=4n^2-5n+16; maximize |m-n|,scaled completion creates a fixed difference of squares,rewrite (4m)^2-(8n-5)^2=231 and enumerate signed factor pairs,,real conic vs integer lattice,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,STATIC_SECOND_ROUTE_REVIEWED,HIGH,
IOQM-2023-Q29,2023,29,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,5,95,NT,IOQM-G9-NT-04,COMB,sum-product partitions;uniqueness,integer represented with equal sum and product,ones change the sum without changing the product,enumerate multiplicative partitions into factors >1 and append forced ones,,ordered compositions vs multiplicative partition structure,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,STATIC_SECOND_ROUTE_REVIEWED,HIGH,
IOQM-G9-NT-04-P01,,,,,,,,12,NT,IOQM-G9-NT-04,,factor pairs;bounds,fixed product and extremum,balanced factor pairs minimize sum,list divisors only up to sqrt(36),G9_CORE,continuous optimum vs integer attainment,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,LEARNER_PRACTICE,TEACHER_KEY,MEDIUM,MEDIUM,MEDIUM,MEDIUM,true,STATIC_CHECKED,HIGH,
IOQM-G9-NT-04-P02,,,,,,,,4,NT,IOQM-G9-NT-04,,factorization into cases,product equals constant,each solution is a signed divisor pair compatible with positivity,"set x-2=d, y+3=20/d",G9_CORE,positive branch vs all signed factor pairs,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,LEARNER_PRACTICE,TEACHER_KEY,MEDIUM,MEDIUM,MEDIUM,MEDIUM,true,STATIC_CHECKED,HIGH,
IOQM-G9-NT-04-P03,,,,,,,,4,NT,IOQM-G9-NT-04,,gcd filter;factor blocks,fixed product with coprimality,prime-power blocks cannot split across coprime factors,"allocate 2^2,3,7 wholly between x,y",G9_CORE,all factor pairs vs coprime factor pairs,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,LEARNER_PRACTICE,TEACHER_KEY,MEDIUM,MEDIUM,MEDIUM,MEDIUM,true,STATIC_CHECKED,HIGH,
