item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2024-Q12,2024,12,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE_OFFICIAL,OFFICIAL_HBCSE_KEY,3,96,GEO,IOQM-G9-GEO-03,,area ratios;line intersection,square with trisection points; lines BF and AE meet M,affine/coordinate ratios determine M and triangle area,"coordinate square, solve line intersection, then use base-height/determinant",G9_CORE ratios;area,synthetic similarity vs coordinate ratio,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,2,2,2,3,true,SECOND_PASS_STEM_REVIEWED,HIGH,"text-only source; independent coordinates give M=(8,4) and area 96"
IOQM-2023-Q05,2023,5,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,2,10,GEO,IOQM-G9-GEO-03,,centroid;midpoint area ratios,medians and midpoints; area GYZ from area ABC,shape-independent centroid/midpoint area ratio,use centroid/midpoint ratios or normalized coordinates,G9_CORE midpoint;area,metric computation vs ratio/area structure,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,2,2,2,3,true,SECOND_PASS_STEM_REVIEWED,HIGH,text-only source; independent determinant gives area ratio 1/48 and answer 10
GEO03-R01,,,,,,,,They are similar; congruence is not guaranteed.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-R02,,,,,,,,Similar by SSS with scale 3/2; not congruent.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-R03,,,,,,,,16:49.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-R04,,,,,,,,5:8.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-R05,,,,,,,,2:1.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-R06,,,,,,,,They are equal.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-R07,,,,,,,,2/5.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-R08,,,,,,,,4:9.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-R09,,,,,,,,No.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-R10,,,,,,,,Both; the scale factor is 1.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-R11,,,,,,,,1/3.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-R12,,,,,,,,No.,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,1,1,1,1,true,AUTHORED_QA,HIGH,
GEO03-P01,,,,,,,,10,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,2,2,2,2,true,AUTHORED_QA,HIGH,
GEO03-P02,,,,,,,,18,GEO,IOQM-G9-GEO-03,,similarity;ratio;area;centroid structure,author-created learner item,licensed ratio/area transfer,identify similarity/shared base-height/centroid invariant,G9_CORE ratios;area,similarity vs congruence; side vs area ratio; centroid formula vs area,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,2,2,2,2,true,AUTHORED_QA,HIGH,
