item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q19,2025,19,https://drive.google.com/file/d/13_o0QUmfqZJxc7IWrz6yqKivuyVC-wku/view,https://drive.google.com/file/d/18jKJ_2rUxgOlbg-2If_-oHzcH8JxzwT5/view,MTAI_OFFICIAL_SHARED_DRIVE,FINAL_OFFICIAL,3,29,GEO,IOQM-G9-GEO-04,ALG,coordinate_circle;square;right_triangle,"right triangle 1,2; inscribed square; one vertex on circle centered at A",line membership plus circle equation determines square side,place right triangle on axes after identifying circle condition,GEO02 stable angle/polygon interface,synthetic angle chase vs low-variable coordinates,false,CLEAN_OFFICIAL_PAGE_VISUAL_CLOSED,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,MEDIUM,MEDIUM,MEDIUM,HIGH,true,INDEPENDENT_STATIC_REVIEWED,HIGH,"Official M1 printed page 7 rendered at 200 dpi; text-only, no printed figure; independent audit PASS."
IOQM-2025-Q23,2025,23,https://drive.google.com/file/d/13_o0QUmfqZJxc7IWrz6yqKivuyVC-wku/view,https://drive.google.com/file/d/18jKJ_2rUxgOlbg-2If_-oHzcH8JxzwT5/view,MTAI_OFFICIAL_SHARED_DRIVE,FINAL_OFFICIAL,5,3,GEO,IOQM-G9-GEO-04,ALG,cyclicity;rectangle;coordinate_elimination,"rectangle; M,N on adjacent sides; equal lengths; C,D,M,N concyclic",cyclicity is decisive non-generic constraint,normalize rectangle and impose non-degenerate cyclicity before elimination,GEO02 stable angle/polygon interface,generic rectangle algebra vs cyclic constraint; degenerate vs canonical reading,false,CLEAN_OFFICIAL_PAGE_VISUAL_CLOSED_NONDEGENERATE,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,HIGH,HIGH,HIGH,HIGH,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Official M1 printed page 8 rendered at 200 dpi; no printed figure; final key rejects degenerate N=C branch; audit PASS.
IOQM-2025-Q30,2025,30,https://drive.google.com/file/d/13_o0QUmfqZJxc7IWrz6yqKivuyVC-wku/view,https://drive.google.com/file/d/18jKJ_2rUxgOlbg-2If_-oHzcH8JxzwT5/view,MTAI_OFFICIAL_SHARED_DRIVE,FINAL_OFFICIAL,5,10,GEO,IOQM-G9-GEO-04,ALG,intersecting_circles;internal_tangency;common_chord,"outer radius 10; two internally tangent inner circles; common intersections A,B; right angle OAB",line of centres perpendicular common chord; radius sum invariant,align common chord/centre direction before metric equations,GEO02 stable angle/polygon interface,full radical-axis theory vs local common-chord fact,false,CLEAN_OFFICIAL_PAGE_VISUAL_CLOSED,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,HIGH,HIGH,HIGH,HIGH,true,INDEPENDENT_STATIC_REVIEWED,HIGH,"Official M1 printed page 10 rendered at 200 dpi; text-only, no printed figure; audit PASS."
IOQM-2024-Q17,2024,17,https://drive.google.com/file/d/1z7-3fJuk5BW9zx9SUEumcnuuE080pQJq/view,https://drive.google.com/file/d/1Li9nwrQ5to5OEkyEbCL9Q1AM2oa5rYsm/view,MTAI_OFFICIAL_SHARED_DRIVE,FINAL_OFFICIAL,3,25,GEO,IOQM-G9-GEO-04,ALG,circumcircle;chord;isosceles_symmetry;coordinates,"isosceles 20,20,30; altitude midpoint; chord through midpoint parallel base",symmetry axis locates circumcentre; chord distance closes metric target,place base symmetrically and use circle chord-distance relation,GEO02 stable angle/polygon interface,generic chord theorem vs symmetry coordinates,false,CLEAN_OFFICIAL_PAGE_VISUAL_CLOSED,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,MEDIUM,MEDIUM,MEDIUM,HIGH,true,INDEPENDENT_STATIC_REVIEWED,HIGH,"Official English printed page 6 rendered at 200 dpi; text-only, no printed figure; audit PASS."
IOQM-2023-Q15,2023,15,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,3,3,GEO,IOQM-G9-GEO-04,ALG,circumcentres;unit_square;coordinates;symmetric_elimination,"unit square; M,N on adjacent sides; small triangle perimeter 2; two circumcentres",perpendicular-bisector coordinates plus symmetric perimeter relation,coordinate the square and solve circumcentre systems,GEO02 stable angle/polygon interface,long synthetic chase vs orthogonal coordinates,false,CLEAN_VALIDATED_PAGE_VISUAL_CLOSED,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,HIGH,HIGH,HIGH,HIGH,true,INDEPENDENT_STATIC_REVIEWED,HIGH,"HBCSE-linked MTAI printed page 5 screenshot inspected; text-only, no printed figure; audit PASS."
GEO04-R01,,,,,,,,,GEO,IOQM-G9-GEO-04,,recognition;theorem_legality;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab item 1; synchronized teacher key.
GEO04-R02,,,,,,,,,GEO,IOQM-G9-GEO-04,,recognition;theorem_legality;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab item 2; synchronized teacher key.
GEO04-R03,,,,,,,,,GEO,IOQM-G9-GEO-04,,recognition;theorem_legality;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab item 3; synchronized teacher key.
GEO04-R04,,,,,,,,,GEO,IOQM-G9-GEO-04,,recognition;theorem_legality;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab item 4; synchronized teacher key.
GEO04-R05,,,,,,,,,GEO,IOQM-G9-GEO-04,,recognition;theorem_legality;first_move,,,,,,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,04 Lab item 5; synchronized teacher key.
