item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q26,2025,26,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,5,10,ALG,IOQM-G9-ALG-04,ALG,sliding-window averages;difference inequalities,4-term averages increasing; 7-term averages decreasing; maximum length,adjacent window comparisons collapse to a_{i+4}>a_i and a_{i+7}<a_i,subtract consecutive window sums to obtain index-shift inequalities,term-vs-sum; inequality order,averages vs termwise difference graph,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,HIGH,Canonical ledger custody copied without local alias.
IOQM-2023-Q10,2023,10,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,2,51,ALG,IOQM-G9-ALG-04,NT,linear recurrence;determinant invariant;divisor count,a_{n+2}=-4a_{n+1}-7a_n; divisor count of a50^2-a49a51,Cassini-type determinant scales predictably under second-order recurrence,define D_n=a_n^2-a_{n-1}a_{n+1} and derive D_{n+1}=7D_n,second-order recurrence; initialization,compute huge terms vs invariant recurrence,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,MEDIUM,Historical anchor retains full official source mechanism; new ALG-04 authored items stop before NT-03 divisor-count doctrine.
ALG04-P01,,,,,,,,,ALG,IOQM-G9-ALG-04,,AP,arithmetic-looking sequence,constant first difference,check first difference,Grade-9 algebra; sequence notation,direct formula vs invariant,false,AUTHOR_CREATED_CLEAN,AUTHOR_CREATED_FOUNDATION,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,CURRENT_SOURCE_REVIEWED,HIGH,
ALG04-P02,,,,,,,,,ALG,IOQM-G9-ALG-04,,GP,geometric-looking sequence,constant ratio,check ratio,Grade-9 algebra; sequence notation,difference vs ratio,false,AUTHOR_CREATED_CLEAN,AUTHOR_CREATED_FOUNDATION,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,CURRENT_SOURCE_REVIEWED,HIGH,
ALG04-P03,,,,,,,,,ALG,IOQM-G9-ALG-04,,TERM_FROM_SUM,partial sums S_n given,a_n=S_n-S_{n-1},subtract neighboring sums,Grade-9 algebra; sequence notation,term vs sum,false,AUTHOR_CREATED_CLEAN,AUTHOR_CREATED_FOUNDATION,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,CURRENT_SOURCE_REVIEWED,HIGH,
ALG04-P04,,,,,,,,,ALG,IOQM-G9-ALG-04,,EXPLICIT_VS_RECURSIVE,two formula forms,recurrence needs initialization,classify representation and initialization,Grade-9 algebra; sequence notation,explicit vs recursive,false,AUTHOR_CREATED_CLEAN,AUTHOR_CREATED_FOUNDATION,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,CURRENT_SOURCE_REVIEWED,HIGH,
ALG04-P05,,,,,,,,,ALG,IOQM-G9-ALG-04,,NEITHER_AP_GP,nonlinear sequence,first differences reveal pattern,check both invariants,Grade-9 algebra; sequence notation,AP/GP vs neither,false,AUTHOR_CREATED_CLEAN,AUTHOR_CREATED_FOUNDATION,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,CURRENT_SOURCE_REVIEWED,HIGH,
ALG04-P06,,,,,,,,,ALG,IOQM-G9-ALG-04,,WINDOW_CANCELLATION,adjacent equal-length windows,shared terms cancel,subtract adjacent windows,Grade-9 algebra; sequence notation,window sum vs term inequality,false,AUTHOR_CREATED_CLEAN,AUTHOR_CREATED_FOUNDATION,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,CURRENT_SOURCE_REVIEWED,HIGH,
ALG04-P07,,,,,,,,,ALG,IOQM-G9-ALG-04,,TELESCOPING,neighboring product k(k+1),partial fractions cancel,partial fraction to neighbor difference,Grade-9 algebra; sequence notation,telescope vs direct summation,false,AUTHOR_CREATED_CLEAN,AUTHOR_CREATED_FOUNDATION,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,CURRENT_SOURCE_REVIEWED,HIGH,
ALG04-P08,,,,,,,,,ALG,IOQM-G9-ALG-04,,RECURRENCE_VERIFICATION,claimed explicit solution,proof needs initials and symbolic recurrence,check initials and recurrence symbolically,Grade-9 algebra; sequence notation,examples vs proof,false,AUTHOR_CREATED_CLEAN,AUTHOR_CREATED_FOUNDATION,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,CURRENT_SOURCE_REVIEWED,HIGH,
