atom_id,atom_kind,bucket,source_ref,Core1_disposition,Core1_locator,Core1_reason,Core2_disposition,Core2_locator,Core2_reason,Core1A_disposition,Core1A_locator,Core1A_reason,Core1B_disposition,Core1B_locator,Core1B_reason,Core2A_disposition,Core2A_locator,Core2A_reason,Core2B_disposition,Core2B_locator,Core2B_reason,required_core_count,realized_core_count
SRC-CONV-001,source_condition,B01,SYN-M2D-20260915-V1,RECALL,Core1.md#b01-observer-frame-axes-origin-and-common-clock,convention recalled,REFERENCE,Core2.md#source-conventions,source convention,REFERENCE,Core1A.md#b01-observer-frame-axes-origin-and-common-clock,convention reference,RECALL,Core1B.md#b01-observer-frame-axes-origin-and-common-clock,convention recalled,REFERENCE,Core2A.md#2a-q03,convention reference,REFERENCE,Core2B.md#2b-q03,convention reference,6,6
SRC-CONV-002,source_condition,B01,SYN-M2D-20260915-V1,RECALL,Core1.md#b01-observer-frame-axes-origin-and-common-clock,convention recalled,REFERENCE,Core2.md#source-conventions,source convention,REFERENCE,Core1A.md#b01-observer-frame-axes-origin-and-common-clock,convention reference,RECALL,Core1B.md#b01-observer-frame-axes-origin-and-common-clock,convention recalled,REFERENCE,Core2A.md#2a-q03,convention reference,REFERENCE,Core2B.md#2b-q03,convention reference,6,6
SRC-CONV-003,source_condition,B01,SYN-M2D-20260915-V1,RECALL,Core1.md#b01-observer-frame-axes-origin-and-common-clock,convention recalled,REFERENCE,Core2.md#source-conventions,source convention,REFERENCE,Core1A.md#b01-observer-frame-axes-origin-and-common-clock,convention reference,RECALL,Core1B.md#b01-observer-frame-axes-origin-and-common-clock,convention recalled,REFERENCE,Core2A.md#2a-q03,convention reference,REFERENCE,Core2B.md#2b-q03,convention reference,6,6
SRC-CONV-004,source_condition,B04,SYN-M2D-20260915-V1,RECALL,Core1.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,convention recalled,REFERENCE,Core2.md#source-conventions,source convention,REFERENCE,Core1A.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,convention reference,RECALL,Core1B.md#b04-constant-motion-in-two-coordinates-tables-and-graphs,convention recalled,REFERENCE,Core2A.md#2a-q05,convention reference,REFERENCE,Core2B.md#2b-q05,convention reference,6,6
SRC-CONV-005,source_condition,B07,SYN-M2D-20260915-V1,RECALL,Core1.md#b07-meeting-requires-the-same-position-at-the-same-time,convention recalled,REFERENCE,Core2.md#source-conventions,source convention,REFERENCE,Core1A.md#b07-meeting-requires-the-same-position-at-the-same-time,convention reference,RECALL,Core1B.md#b07-meeting-requires-the-same-position-at-the-same-time,convention recalled,REFERENCE,Core2A.md#2a-q07,convention reference,REFERENCE,Core2B.md#2b-q07,convention reference,6,6
SRC-CONV-006,source_condition,B07,SYN-M2D-20260915-V1,RECALL,Core1.md#b07-meeting-requires-the-same-position-at-the-same-time,convention recalled,REFERENCE,Core2.md#source-conventions,source convention,REFERENCE,Core1A.md#b07-meeting-requires-the-same-position-at-the-same-time,convention reference,RECALL,Core1B.md#b07-meeting-requires-the-same-position-at-the-same-time,convention recalled,REFERENCE,Core2A.md#2a-q07,convention reference,REFERENCE,Core2B.md#2b-q07,convention reference,6,6
SRC-CONV-007,source_condition,B03,SYN-M2D-20260915-V1,RECALL,Core1.md#b03-coordinates-components-and-reconstructing-a-vector-visually,convention recalled,REFERENCE,Core2.md#source-conventions,source convention,REFERENCE,Core1A.md#b03-coordinates-components-and-reconstructing-a-vector-visually,convention reference,RECALL,Core1B.md#b03-coordinates-components-and-reconstructing-a-vector-visually,convention recalled,REFERENCE,Core2A.md#2a-q02,convention reference,REFERENCE,Core2B.md#2b-q02,convention reference,6,6
REQ-C-B01-01,contract_concept,B01,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b01-observer-frame-axes-origin-and-common-clock,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b01-observer-frame-axes-origin-and-common-clock,declarative teaching,RECALL,Core1B.md#b01-observer-frame-axes-origin-and-common-clock,reconstruction/reference,APPLICATION,Core2A.md#2a-q03,generated application,TRANSFER,Core2B.md#2b-q03,generated transfer,6,6
REQ-C-B01-02,contract_concept,B01,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b01-observer-frame-axes-origin-and-common-clock,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b01-observer-frame-axes-origin-and-common-clock,declarative teaching,RECALL,Core1B.md#b01-observer-frame-axes-origin-and-common-clock,reconstruction/reference,APPLICATION,Core2A.md#2a-q03,generated application,TRANSFER,Core2B.md#2b-q03,generated transfer,6,6
REQ-C-B01-03,contract_concept,B01,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b01-observer-frame-axes-origin-and-common-clock,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b01-observer-frame-axes-origin-and-common-clock,declarative teaching,RECALL,Core1B.md#b01-observer-frame-axes-origin-and-common-clock,reconstruction/reference,APPLICATION,Core2A.md#2a-q03,generated application,TRANSFER,Core2B.md#2b-q03,generated transfer,6,6
REQ-C-B02-01,contract_concept,B02,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b02-path-distance-displacement-and-average-quantities,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b02-path-distance-displacement-and-average-quantities,declarative teaching,RECALL,Core1B.md#b02-path-distance-displacement-and-average-quantities,reconstruction/reference,APPLICATION,Core2A.md#2a-q01,generated application,TRANSFER,Core2B.md#2b-q01,generated transfer,6,6
REQ-C-B02-02,contract_concept,B02,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b02-path-distance-displacement-and-average-quantities,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b02-path-distance-displacement-and-average-quantities,declarative teaching,RECALL,Core1B.md#b02-path-distance-displacement-and-average-quantities,reconstruction/reference,APPLICATION,Core2A.md#2a-q01,generated application,TRANSFER,Core2B.md#2b-q01,generated transfer,6,6
REQ-C-B02-03,contract_concept,B02,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b02-path-distance-displacement-and-average-quantities,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b02-path-distance-displacement-and-average-quantities,declarative teaching,RECALL,Core1B.md#b02-path-distance-displacement-and-average-quantities,reconstruction/reference,APPLICATION,Core2A.md#2a-q01,generated application,TRANSFER,Core2B.md#2b-q01,generated transfer,6,6
REQ-C-B03-01,contract_concept,B03,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b03-coordinates-components-and-reconstructing-a-vector-visually,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b03-coordinates-components-and-reconstructing-a-vector-visually,declarative teaching,RECALL,Core1B.md#b03-coordinates-components-and-reconstructing-a-vector-visually,reconstruction/reference,APPLICATION,Core2A.md#2a-q02,generated application,TRANSFER,Core2B.md#2b-q02,generated transfer,6,6
REQ-C-B03-02,contract_concept,B03,ASSIGNMENT-CONTRACT,FULL_TEACHING,Core1.md#b03-coordinates-components-and-reconstructing-a-vector-visually,concise teaching,REFERENCE,Core2.md#help-map,canonical help reference,FULL_TEACHING,Core1A.md#b03-coordinates-components-and-reconstructing-a-vector-visually,declarative teaching,RECALL,Core1B.md#b03-coordinates-components-and-reconstructing-a-vector-visually,reconstruction/reference,APPLICATION,Core2A.md#2a-q02,generated application,TRANSFER,Core2B.md#2b-q02,generated transfer,6,6
