item_id,source_year,source_question_number,official_answer,verification_batch,independent_verdict,answer_verified_independently,source_or_metadata_status,correction_detail
IOQM-2025-Q01,2025,1,40,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2025-Q02,2025,2,17,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2025-Q03,2025,3,18,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2025-Q04,2025,4,06,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2025-Q05,2025,5,45,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2025-Q06,2025,6,15,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2025-Q07,2025,7,46,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2025-Q08,2025,8,48,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2025-Q09,2025,9,28,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2025-Q10,2025,10,54,A_Q01_Q10,PASS,true,CLEAN,
IOQM-2025-Q11,2025,11,26,B_Q11_Q20,PASS,true,KEY_CORRECTED_FINAL_OFFICIAL,Final official key corrected provisional 61 to 26; independent answer agrees with final 26.
IOQM-2025-Q12,2025,12,33,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2025-Q13,2025,13,60,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2025-Q14,2025,14,12,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2025-Q15,2025,15,40,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2025-Q16,2025,16,22,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2025-Q17,2025,17,23,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2025-Q18,2025,18,40,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2025-Q19,2025,19,29,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2025-Q20,2025,20,42,B_Q11_Q20,PASS,true,CLEAN,
IOQM-2025-Q21,2025,21,49,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2025-Q22,2025,22,66,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2025-Q23,2025,23,03,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2025-Q24,2025,24,53,C_Q21_Q30,PASS,true,CLEAN,
IOQM-2025-Q25,2025,25,36,C_Q21_Q30,PASS,true,CLEAN,
