item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q05,2025,5,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,45,COMB,IOQM-G9-COMB-01,NT,restricted digit counting,3-digit abc; c=a+b,digit relation becomes bounded pair count,"count admissible (a,b)",elementary counting,counting strings vs deriving digit arithmetic,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q15,2025,15,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,3,40,COMB,IOQM-G9-COMB-01,,restricted injection; inclusion-exclusion,three coupon-pairs; distinct envelopes; forbidden matches,grouped objects with forbidden envelope sets,model three pair-groups then count injectively,elementary counting,independent placement vs grouped restriction,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q18,2025,18,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,3,40,COMB,IOQM-G9-COMB-01,,multiset permutations; complement; relative order,223334444; condition right of rightmost 4,relative 3/4 subsequence controls event,separate 2 positions from 3/4 relative order,elementary counting,direct position cases vs complement,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2024-Q02,2024,2,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE_OFFICIAL,OFFICIAL_HBCSE_KEY,2,12,COMB,IOQM-G9-COMB-01,,permutations; parity restriction,"4-digit odd; digits 1,2,3,4 once",units position restriction first,choose odd units digit then permute rest,elementary counting,permutation vs arithmetic parity rule,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2023-Q07,2023,7,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,2,48,COMB,IOQM-G9-COMB-01,,symmetry-normalized arrangements; cube rotations,"1,2 opposite; opposite faces same colour",fix rotational frame before counting visible designs,fix 1/2 axis; cyclic labels; colour opposite pairs,elementary counting,raw face permutations vs rotational equivalence,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2023-Q17,2023,17,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,3,66,COMB,IOQM-G9-COMB-01,ALG,order statistics; subset symmetry,increasing 5-tuples from 1..99; average fourth element,increasing tuples are unordered subsets with symmetric order statistics,use reflection/order-statistic symmetry,elementary counting,enumerating tuples vs subset symmetry,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2023-Q20,2023,20,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,3,43,COMB,IOQM-G9-COMB-01,,finite sets; cardinality/max; binomial counts,max(A)|B|=12; |A|max(B)=11,factor constraints determine size/max before subset count,solve size/max factors then choose lower elements,elementary counting,set enumeration vs parameter factorization,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,HIGH,
COMB01-P01,,,,,,,,12,COMB,IOQM-G9-COMB-01,,multiplication principle,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F0,,,,true,AUTHORED_QA,HIGH,
COMB01-P02,,,,,,,,8,COMB,IOQM-G9-COMB-01,,addition principle,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F0,,,,true,AUTHORED_QA,HIGH,
COMB01-P03,,,,,,,,15,COMB,IOQM-G9-COMB-01,,combination,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F0,,,,true,AUTHORED_QA,HIGH,
COMB01-P04,,,,,,,,24,COMB,IOQM-G9-COMB-01,,permutation,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F0,,,,true,AUTHORED_QA,HIGH,
COMB01-P05,,,,,,,,12,COMB,IOQM-G9-COMB-01,,repeated objects,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F0,,,,true,AUTHORED_QA,HIGH,
COMB01-P06,,,,,,,,12,COMB,IOQM-G9-COMB-01,,position restriction; permutation,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F1,,,,true,AUTHORED_QA,HIGH,
COMB01-P07,,,,,,,,56,COMB,IOQM-G9-COMB-01,,combination,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F1,,,,true,AUTHORED_QA,HIGH,
COMB01-P08,,,,,,,,60,COMB,IOQM-G9-COMB-01,,repeated objects,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F1,,,,true,AUTHORED_QA,HIGH,
COMB01-P09,,,,,,,,60,COMB,IOQM-G9-COMB-01,,ordered selection,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F1,,,,true,AUTHORED_QA,HIGH,
COMB01-P10,,,,,,,,10,COMB,IOQM-G9-COMB-01,,combination positions,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F1,,,,true,AUTHORED_QA,HIGH,
COMB01-P11,,,,,,,,300,COMB,IOQM-G9-COMB-01,,leading-zero restriction; permutation,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F2,,,,true,AUTHORED_QA,HIGH,
COMB01-P12,,,,,,,,360,COMB,IOQM-G9-COMB-01,,symmetry; permutation,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F2,,,,true,AUTHORED_QA,HIGH,
COMB01-P13,,,,,,,,128,COMB,IOQM-G9-COMB-01,,subset restriction,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F2,,,,true,AUTHORED_QA,HIGH,
COMB01-P14,,,,,,,,60,COMB,IOQM-G9-COMB-01,,restricted injection,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F2,,,,true,AUTHORED_QA,HIGH,
COMB01-P15,,,,,,,,61,COMB,IOQM-G9-COMB-01,,complement,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F2,,,,true,AUTHORED_QA,HIGH,
COMB01-P16,,,,,,,,1260,COMB,IOQM-G9-COMB-01,,repeated objects,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F3,,,,true,AUTHORED_QA,HIGH,
COMB01-P17,,,,,,,,1260,COMB,IOQM-G9-COMB-01,,position restriction; permutation,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F3,,,,true,AUTHORED_QA,HIGH,
COMB01-P18,,,,,,,,140,COMB,IOQM-G9-COMB-01,,complement; combination,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F3,,,,true,AUTHORED_QA,HIGH,
COMB01-P19,,,,,,,,3600,COMB,IOQM-G9-COMB-01,,block complement,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F3,,,,true,AUTHORED_QA,HIGH,
COMB01-P20,,,,,,,,30,COMB,IOQM-G9-COMB-01,,order symmetry,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F3,,,,true,AUTHORED_QA,HIGH,
COMB01-P21,,,,,,,,9,COMB,IOQM-G9-COMB-01,,inclusion-exclusion; derangement,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F4,,,,true,AUTHORED_QA,HIGH,
COMB01-P22,,,,,,,,60,COMB,IOQM-G9-COMB-01,,inclusion-exclusion,authored practice item,counted-object identity and restriction model,define object; choose ordered/unordered/cases/stages,elementary arithmetic,direct vs complement; disjoint vs overlap; ordered vs unordered,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,F4,,,,true,AUTHORED_QA,HIGH,
