question_id,core,source,original_source_number,primary_concept,linked_concepts,bucket,syllabus_status,inference_steps,representation_translation,interacting_constraints,algebra_burden,novelty,demand_total,question_demand_badge,support_level,answer_locator,demand_rationale,conceptual_source,parent_question,provenance_note
C1-Q01,Core1,Agent-authored self-check,,frame naming,axes; shared clock,B01,CBSE_OPTIONAL_ADVANCED,1,0,0,0,1,2,entry,light scaffold,Core1.md#c1-q01-answer,Compact B01 retrieval/application check; support does not change intrinsic item demand.,canonical register,,Agent-authored; not official/PYQ.
C1-Q02,Core1,Agent-authored self-check,,distance versus displacement,Pythagoras; averages,B02,CBSE_STANDARD,1,1,0,1,0,3,entry,light scaffold,Core1.md#c1-q02-answer,Compact B02 retrieval/application check; support does not change intrinsic item demand.,canonical register,,Agent-authored; not official/PYQ.
C1-Q03,Core1,Agent-authored self-check,,signed components,magnitude,B03,CBSE_OPTIONAL_ADVANCED,1,1,0,1,0,3,entry,light scaffold,Core1.md#c1-q03-answer,Compact B03 retrieval/application check; support does not change intrinsic item demand.,canonical register,,Agent-authored; not official/PYQ.
C1-Q04,Core1,Agent-authored self-check,,shared time in x/y motion,graphs,B04,REQUESTED_ENRICHMENT,1,1,1,1,0,4,standard,light scaffold,Core1.md#c1-q04-answer,Compact B04 retrieval/application check; support does not change intrinsic item demand.,canonical register,,Agent-authored; not official/PYQ.
C1-Q05,Core1,Agent-authored self-check,,1D relative-velocity order,signs; units,B05,REQUESTED_ENRICHMENT,1,0,1,1,0,3,entry,light scaffold,Core1.md#c1-q05-answer,Compact B05 retrieval/application check; support does not change intrinsic item demand.,canonical register,,Agent-authored; not official/PYQ.
C1-Q06,Core1,Agent-authored self-check,,2D relative velocity,observer reversal; magnitude,B06,REQUESTED_ENRICHMENT,2,1,1,1,0,5,standard,light scaffold,Core1.md#c1-q06-answer,Compact B06 retrieval/application check; support does not change intrinsic item demand.,canonical register,,Agent-authored; not official/PYQ.
C1-Q07,Core1,Agent-authored self-check,,same-position same-time meeting,positive control,B07,REQUESTED_ENRICHMENT,2,1,2,1,1,7,stretch,light scaffold,Core1.md#c1-q07-answer,Compact B07 retrieval/application check; support does not change intrinsic item demand.,canonical register,,Agent-authored; not official/PYQ.
C1-Q08,Core1,Agent-authored self-check,,frame composition and ambiguity,boat/current; rain/observer,B08,REQUESTED_ENRICHMENT,2,1,1,1,1,6,standard,light scaffold,Core1.md#c1-q08-answer,Compact B08 retrieval/application check; support does not change intrinsic item demand.,canonical register,,Agent-authored; not official/PYQ.
C1A-Q01,Core1A,Agent-authored checkpoint,,frame and shared clock,axes; origin,B01,CBSE_OPTIONAL_ADVANCED,1,1,0,0,0,2,entry,worked teaching available,Core1A.md#c1a-q01-answer,Checkpoint reconstructs the explicit B01 teaching rather than merely recalling a definition.,CBSE/OpenStax/canonical register,,Agent-authored; not official/PYQ.
C1A-Q02,Core1A,Agent-authored checkpoint,,distance/displacement averages,Pythagoras,B02,CBSE_STANDARD,2,1,1,1,0,5,standard,worked teaching available,Core1A.md#c1a-q02-answer,Checkpoint reconstructs the explicit B02 teaching rather than merely recalling a definition.,CBSE/OpenStax/canonical register,,Agent-authored; not official/PYQ.
