item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q02,2025,2,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,17,NT,IOQM-G9-NT-01,,divisibility; common-multiple overlap; counting bridge,n<=100; divisible by 3; not divisible by 2,numbers divisible by both 3 and 2 are multiples of 6,count multiples of 3 and subtract multiples of 6,integer divisibility; basic counting,divisibility count vs digit test,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,SOURCE_LINKED_ANCHOR,SOURCE_LEDGER_AND_INDEPENDENT_TRACE,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,true,FRESH_TOPIC_AUDIT_PASS,HIGH,Official answer 17 independently recomputed as floor(100/3)-floor(100/6).
IOQM-2025-Q27,2025,27,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,5,40,NT,IOQM-G9-NT-01,NT,lcm structure; gcd normalization; integer triples,"lcm(a,c)+lcm(b,c) relation; positive triples <=50","rewrite lcm(x,c)=xc/gcd(x,c) and reduce to gcd-value signs","introduce x=gcd(a,c), y=gcd(b,c); rewrite both lcm terms",gcd/lcm structure; integer bounds,lcm equation vs brute-force enumeration,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,SOURCE_LINKED_ANCHOR,SOURCE_LEDGER_AND_INDEPENDENT_TRACE,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,true,FRESH_TOPIC_AUDIT_PASS,HIGH,"Independent audit forces symmetric core pairs (25,2),(2,25), 20 admissible c each; total 40."
NT01-LAB-001,,,,,,,,,NT,IOQM-G9-NT-01,,same remainder,same remainder; greatest divisor,difference divisibility,write d|(296-188),G9_CORE integer arithmetic,first-move recognition,false,CLEAN_AUTHOR_CREATED,AUTHOR_CREATED_RECOGNITION,STUDENT_FIRST_LINE_LAB,KEYED_DIAGNOSTIC,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,true,LEAD_STATIC_REVIEW_PASS,HIGH,Recognition and First-Line Lab item 1; static answer audit PASS.
NT01-LAB-002,,,,,,,,,NT,IOQM-G9-NT-01,,lcm construction,least positive integer divisible by several,common multiple,"write N=lcm(14,20,35)",G9_CORE integer arithmetic,first-move recognition,false,CLEAN_AUTHOR_CREATED,AUTHOR_CREATED_RECOGNITION,STUDENT_FIRST_LINE_LAB,KEYED_DIAGNOSTIC,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,true,LEAD_STATIC_REVIEW_PASS,HIGH,Recognition and First-Line Lab item 2; static answer audit PASS.
NT01-LAB-003,,,,,,,,,NT,IOQM-G9-NT-01,,Euclidean algorithm,large gcd pair,gcd invariant under remainder reduction,write division-with-remainder equation,G9_CORE integer arithmetic,first-move recognition,false,CLEAN_AUTHOR_CREATED,AUTHOR_CREATED_RECOGNITION,STUDENT_FIRST_LINE_LAB,KEYED_DIAGNOSTIC,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,true,LEAD_STATIC_REVIEW_PASS,HIGH,Recognition and First-Line Lab item 3; static answer audit PASS.
NT01-LAB-004,,,,,,,,,NT,IOQM-G9-NT-01,,gcd-lcm product,gcd and lcm both given; target product,gL=ab,write ab=gL,G9_CORE integer arithmetic,first-move recognition,false,CLEAN_AUTHOR_CREATED,AUTHOR_CREATED_RECOGNITION,STUDENT_FIRST_LINE_LAB,KEYED_DIAGNOSTIC,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,true,LEAD_STATIC_REVIEW_PASS,HIGH,Recognition and First-Line Lab item 4; static answer audit PASS.
NT01-LAB-005,,,,,,,,,NT,IOQM-G9-NT-01,,linear combination,common divisor of two linear forms,integer combinations remain divisible,cancel a variable/term,G9_CORE integer arithmetic,first-move recognition,false,CLEAN_AUTHOR_CREATED,AUTHOR_CREATED_RECOGNITION,STUDENT_FIRST_LINE_LAB,KEYED_DIAGNOSTIC,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,true,LEAD_STATIC_REVIEW_PASS,HIGH,Recognition and First-Line Lab item 5; static answer audit PASS.
NT01-LAB-006,,,,,,,,,NT,IOQM-G9-NT-01,,prescribed remainder reconstruction,unknown number; same prescribed remainder,N-r common multiple,write N-4=lcm(...),G9_CORE integer arithmetic,first-move recognition,false,CLEAN_AUTHOR_CREATED,AUTHOR_CREATED_RECOGNITION,STUDENT_FIRST_LINE_LAB,KEYED_DIAGNOSTIC,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,true,LEAD_STATIC_REVIEW_PASS,HIGH,Recognition and First-Line Lab item 6; static answer audit PASS.
NT01-LAB-007,,,,,,,,,NT,IOQM-G9-NT-01,,gcd of differences,same remainder on three numbers,divisor divides all differences,write two difference divisibilities,G9_CORE integer arithmetic,first-move recognition,false,CLEAN_AUTHOR_CREATED,AUTHOR_CREATED_RECOGNITION,STUDENT_FIRST_LINE_LAB,KEYED_DIAGNOSTIC,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,true,LEAD_STATIC_REVIEW_PASS,HIGH,Recognition and First-Line Lab item 7; static answer audit PASS.
NT01-LAB-008,,,,,,,,,NT,IOQM-G9-NT-01,,lcm synchronization,two recurrence periods,first common time is lcm,"write lcm(18,24)",G9_CORE integer arithmetic,first-move recognition,false,CLEAN_AUTHOR_CREATED,AUTHOR_CREATED_RECOGNITION,STUDENT_FIRST_LINE_LAB,KEYED_DIAGNOSTIC,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,true,LEAD_STATIC_REVIEW_PASS,HIGH,Recognition and First-Line Lab item 8; static answer audit PASS.
