item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q07,2025,7,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE,FINAL_OFFICIAL,2,46,ALG,IOQM-G9-ALG-02,,feasibility_bound;integer_filter,quadratic sum relation,nonnegative square bounds sum,set sum and form square difference,ALG01 interface,real-vs-integer;bound-vs-maximum,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Exact stem source-controlled; no weightage inference
IOQM-2024-Q06,2024,6,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE,OFFICIAL_HBCSE_KEY,2,06,ALG,IOQM-G9-ALG-02,,power_bound;discrete_extreme,strong power constraints,variables collapse to finite extreme set,extract magnitude bounds,F0 algebra,bound-vs-attainment,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,,,,,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Exact stem source-controlled
ALG02-P01,,,,,,,,,ALG,IOQM-G9-ALG-02,,complete_square;attainment,authored practice surface,extremum requires correct bound plus feasible equality,run REQUEST-DOMAIN-DIRECTION router,ALG01 interface;F0 inequalities,bound-vs-extremum,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 1; classroom metrics NOT_RUN
ALG02-P02,,,,,,,,,ALG,IOQM-G9-ALG-02,,complete_square;attainment,authored practice surface,extremum requires correct bound plus feasible equality,run REQUEST-DOMAIN-DIRECTION router,ALG01 interface;F0 inequalities,bound-vs-extremum,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 2; classroom metrics NOT_RUN
ALG02-P03,,,,,,,,,ALG,IOQM-G9-ALG-02,,AM-GM;equality,authored practice surface,extremum requires correct bound plus feasible equality,run REQUEST-DOMAIN-DIRECTION router,ALG01 interface;F0 inequalities,bound-vs-extremum,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 3; classroom metrics NOT_RUN
ALG02-P04,,,,,,,,,ALG,IOQM-G9-ALG-02,,fixed_sum_product;attainment,authored practice surface,extremum requires correct bound plus feasible equality,run REQUEST-DOMAIN-DIRECTION router,ALG01 interface;F0 inequalities,bound-vs-extremum,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 4; classroom metrics NOT_RUN
ALG02-P05,,,,,,,,,ALG,IOQM-G9-ALG-02,,boundedness;nonattainment,authored practice surface,extremum requires correct bound plus feasible equality,run REQUEST-DOMAIN-DIRECTION router,ALG01 interface;F0 inequalities,bound-vs-minmax,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 5; classroom metrics NOT_RUN
ALG02-P06,,,,,,,,,ALG,IOQM-G9-ALG-02,,AM-GM;equality,authored practice surface,extremum requires correct bound plus feasible equality,run REQUEST-DOMAIN-DIRECTION router,ALG01 interface;F0 inequalities,bound-vs-extremum,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 6; classroom metrics NOT_RUN
ALG02-P07,,,,,,,,,ALG,IOQM-G9-ALG-02,,fixed_sum_product;attainment,authored practice surface,extremum requires correct bound plus feasible equality,run REQUEST-DOMAIN-DIRECTION router,ALG01 interface;F0 inequalities,bound-vs-extremum,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 7; classroom metrics NOT_RUN
ALG02-P08,,,,,,,,,ALG,IOQM-G9-ALG-02,,Cauchy_Engel;equality,authored practice surface,extremum requires correct bound plus feasible equality,run REQUEST-DOMAIN-DIRECTION router,ALG01 interface;F0 inequalities,bound-vs-extremum,false,CLEAN_VALIDATED,AUTHOR_CREATED_MASTERY,PRACTICE,PRACTICE,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Practice 8; classroom metrics NOT_RUN
