item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q01,2025,1,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,40,ALG,IOQM-G9-ALG-01,,percentage;ratio,60% of x; x% of 60,same product/percentage symmetry,write 0.6x=40 then evaluate 0.01x*60,,percentage equation vs direct proportion,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q02,2025,2,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,17,NT,IOQM-G9-NT-01,,divisibility;inclusion-exclusion,divisible by 3 not by 2,count multiples of 3 minus multiples of 6,count floor(100/3)-floor(100/6),,divisibility count vs digit count,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q03,2025,3,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,18,NT,IOQM-G9-NT-04,ALG;GEO,factor pairs;integer optimization,integer rectangle; area fixed; minimum perimeter,integer factor pairs discretize the optimization,list factor pairs of 20 and compare 2(a+b),,continuous AM-GM vs discrete factor pairs,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q04,2025,4,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,06,GEO,IOQM-G9-GEO-01,COMB,triangle inequality;integer sides;isosceles cases,isosceles integer triangle; perimeter 23,triangle inequality filters integer side partitions,let equal sides=a and base=23-2a; enforce 0<base<2a,,counting partitions vs geometric feasibility,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q05,2025,5,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,45,COMB,IOQM-G9-COMB-01,NT,restricted digit counting,3-digit abc; c=a+b,digit relation turns counting into bounded integer pairs,count (a,b) with a=1..9, b=0..9, a+b<=9,,place-value arithmetic vs pure permutation,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q06,2025,6,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,15,NT,IOQM-G9-NT-03,,perfect squares;perfect cubes;age differences,ages in 2025 and 2012 are squares; future cube,fixed difference 13 between two squares sharply restricts ages,solve u^2-v^2=13 then test future perfect cube,,perfect-power recognition vs generic Diophantine,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q07,2025,7,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,46,ALG,IOQM-G9-ALG-02,,quadratic bound;sum-square relation,sum=n integer; sum of squares=n+1012; maximize n,(x+y)^2<=2(x^2+y^2) gives a quadratic bound on n,set n=x+y and use n^2<=2(n+1012),,bound vs explicit solving of x,y,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q08,2025,8,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,48,COMB,IOQM-G9-COMB-02,,graph coloring;proper coloring,quadrilateral plus diagonal AC; 4 colors,count proper colorings of graph K4 minus one diagonal,color A then C/B/D sequentially using adjacency constraints,,vertex-coloring vs unrestricted color assignments,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q09,2025,9,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,28,GEO,IOQM-G9-GEO-01,,triangle inequality;shared diagonal feasibility,four sides and one diagonal of quadrilateral,diagonal must form two valid triangles with the remaining four sides,test each candidate diagonal against a partition of four sides into two triangle pairs,,quadrilateral surface vs two-triangle feasibility,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q10,2025,10,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,2,54,GEO,IOQM-G9-GEO-05,NT,cylinder mensuration;integer constraints,integer radius/height; TSA=volume,2r(r+h)=r^2h converts geometry to integer factor equation,cancel pi and derive 2(r+h)=rh; search positive integer solutions,,mensuration equation vs unrestricted real optimization,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2025-Q11,2025,11,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,3,26,NT,IOQM-G9-NT-04,NT,Farey/rational approximation;coprime denominator bound,reduced fraction closest to 3/4; b<=15,distance |4a-3b|/(4b) is minimized by small nonzero integer numerator,minimize |4a-3b| with b<=15 and gcd(a,b)=1,,decimal approximation vs Diophantine determinant,false,KEY_CORRECTED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,HIGH,Final official key corrected this item from provisional 61 to 26.
IOQM-2025-Q12,2025,12,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,3,33,NT,IOQM-G9-NT-05,NT,place value;divisibility;digit optimization,five-digit abcab divisible by two-digit ab but not 13,decimal block decomposition exposes divisibility by ab,write number=1000a+100b+10c+10a+b and reduce modulo 10a+b,,digit-sum maximization vs raw enumeration,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,MEDIUM,
IOQM-2025-Q13,2025,13,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,3,60,GEO,IOQM-G9-GEO-02,GEO;ALG,angle geometry;vector/trigonometric relation,quadrilateral side lengths with 30° and 90°; angle between diagonals,coordinate/vector placement converts side-angle data to diagonal directions,place shared side on an axis and compute diagonal direction vectors,,angle chasing vs coordinate/vector computation,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,false,SECOND_PASS_STEM_REVIEWED,MEDIUM,
