item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q14,2025,14,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,,12,ALG,IOQM-G9-ALG-05,,functional_equation;special_values;integer_domain,f(mn+1);integer domain;f(0)=1,zero collapse forces global linear formula,set m=0 then n=0,ALG01 substitution;integer algebra,arbitrary-vs-strategic substitution;recurrence-vs-FE,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,SECOND_PASS_STEM_REVIEWED,HIGH,Independent derivation PASS; no correction overlay
IOQM-2024-Q16,2024,16,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE_OFFICIAL,OFFICIAL_HBCSE_KEY,,08,ALG,IOQM-G9-ALG-05,,functional_equation;involution;equation_combination,f(3-x) paired with f(x),partner map x->3-x is an involution,write equation at x and 3-x,ALG01 equivalence;elementary elimination,reflection-vs-periodicity;guess-vs-proof,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,PYQ_ANCHOR,PYQ_ANCHOR,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,SECOND_PASS_STEM_REVIEWED,HIGH,Independent derivation PASS; no correction overlay
ALG05-R01,,,,,,,,,ALG,IOQM-G9-ALG-05,,special_values,f(mn+1) on integers,zero collapse is structurally strongest,set m=0,integer substitution,random-vs-strategic substitution,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Recognition/First-Line Lab 1
ALG05-R02,,,,,,,,,ALG,IOQM-G9-ALG-05,,involution,f(8-x) and f(x),partner map returns after two uses,identify x->8-x->x,function notation,reflection-vs-periodicity,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Recognition/First-Line Lab 2
ALG05-R03,,,,,,,,,ALG,IOQM-G9-ALG-05,,involution;equation_combination,f(x) with f(5-x),partner equation closes two-value system,substitute 5-x,elementary substitution,sample-values-vs-partner equation,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Recognition/First-Line Lab 3
ALG05-R04,,,,,,,,,ALG,IOQM-G9-ALG-05,,domain_legality,integer-only relation,legal inputs must stay in Z,choose x=-1,integer domain reading,legal-vs-illegal substitution,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Recognition/First-Line Lab 4
ALG05-R05,,,,,,,,,ALG,IOQM-G9-ALG-05,,proof_completeness,five sample values fit formula,finite samples do not prove all inputs,require global proof,basic logic,conjecture-vs-proof,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Recognition/First-Line Lab 5
ALG05-R06,,,,,,,,,ALG,IOQM-G9-ALG-05,,injectivity,question asks injective,equal outputs must force equal inputs,assume f(a)=f(b),basic function language,proof-vs-assumption,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Recognition/First-Line Lab 6
ALG05-R07,,,,,,,,,ALG,IOQM-G9-ALG-05,,surjectivity,question asks every real output,arbitrary target requires explicit preimage,let t be arbitrary,basic function language,construction-vs-sampling,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Recognition/First-Line Lab 7
ALG05-R08,,,,,,,,,ALG,IOQM-G9-ALG-05,,recurrence_boundary,a_(n+1)=2a_n+1,indexed neighbor relation is a recurrence,classify object,sequence notation,functional-equation-vs-recurrence,false,CLEAN_VALIDATED,AUTHOR_CREATED_FOUNDATION,RECOGNITION_FIRST_LINE,DIAGNOSTIC,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,NOT_CALIBRATED,true,INDEPENDENT_STATIC_REVIEWED,HIGH,Recognition/First-Line Lab 8
