item_id,source_year,source_question_number,source_paper_url,source_key_url,source_authority,key_status,question_mark_value,official_answer,primary_domain,main_topic_id,secondary_domains,mechanisms,visible_clues,hidden_invariant,first_move,prerequisites,decision_boundaries,figure_required,source_integrity_status,provenance,student_use_disposition,teacher_use_disposition,recognition_difficulty,representation_difficulty,execution_difficulty,transfer_difficulty,answer_verified_independently,classification_review_status,classification_confidence,notes
IOQM-2025-Q13,2025,13,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/final-key-7th-September.pdf,HBCSE_OFFICIAL,FINAL_OFFICIAL,3,60,GEO,IOQM-G9-GEO-02,GEO;ALG,angle geometry;vector/trigonometric relation,quadrilateral side lengths; 30 and 90 degree directions,direction data determine diagonal directions,test concise coordinate/vector representation,G9_CORE angles,synthetic chase vs coordinate/vector,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,MEDIUM,no source figure required
IOQM-2024-Q04,2024,4,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm-2024-english.pdf,https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/04/ioqm2024-answerkey.pdf,HBCSE_OFFICIAL,OFFICIAL_HBCSE_KEY,2,70,GEO,IOQM-G9-GEO-02,,angle chasing;quadrilateral,several angles; find one diagonal angle,isosceles recognition plus local closure,identify equal-angle isosceles relation then chase,G9_CORE triangle angles,law of cosines vs angle structure,false,CLEAN_OFFICIAL,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,HIGH,no source figure required
IOQM-2023-Q06,2023,6,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,2,16,GEO,IOQM-G9-GEO-02,NT,regular polygon interior angle;divisibility,even integer regular-polygon angle,interior=180-360/k converts geometry to divisor filter,write theta=180-360/k and enforce integrality,G9_CORE arithmetic,angle list vs divisor parameterization,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,HIGH,
IOQM-2023-Q24,2023,24,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,5,31,GEO,IOQM-G9-GEO-02,NT,trapezium feasibility;integer sides;congruence,four distinct side lengths; noncongruent trapezia,positive height iff |p-q|<base difference<p+q,choose bases/legs; test strict feasibility before counting,G9_CORE inequalities,enumeration vs geometric feasibility,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,MEDIUM,minimum GEO-01 bridge only
IOQM-2023-Q25,2023,25,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,https://www.mtai.org.in/wp-content/uploads/2023/09/IOQM_Sep_2023_Question-paper-with-answer-key.pdf,HBCSE_LINKED_MTAI,HBCSE_LINKED_MTAI_EMBEDDED_KEY,5,28,GEO,IOQM-G9-GEO-02,COMB,regular polygon diagonals;right-angle incidence,many perpendicular diagonal pairs,rotational symmetry collapses direction classes,count direction/gap classes rather than raw pairs,G9_CORE regular polygons,pair enumeration vs symmetry,false,CLEAN_VALIDATED,HISTORICAL_VALIDATED_PYQ,CANONICAL_SOURCE_LINKED_PYQ,SOURCE_LEDGER_AND_MECHANISM_ANALYSIS,,,,,true,SECOND_PASS_STEM_REVIEWED,MEDIUM,no circle canon taught
GEO02-A01,,,,,,,,Adjacent obtuse angle = 180-73 = 107 degrees.,GEO,IOQM-G9-GEO-02,,,,,,,,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,AUTHORED_QA,HIGH,
GEO02-A02,,,,,,,,"Basic rotation is 360/15=24 degrees; 72/24=3, so yes.",GEO,IOQM-G9-GEO-02,,,,,,,,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,AUTHORED_QA,HIGH,
GEO02-R01,,,,,,,,"Transfer 64 by corresponding angles, then adjacent = 116.",GEO,IOQM-G9-GEO-02,,,,,,,,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,AUTHORED_QA,HIGH,
GEO02-R02,,,,,,,,"By the converse, the two lines are parallel.",GEO,IOQM-G9-GEO-02,,,,,,,,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,AUTHORED_QA,HIGH,
GEO02-R03,,,,,,,,Fourth angle = 360-(84+96+111)=69.,GEO,IOQM-G9-GEO-02,,,,,,,,false,AUTHOR_CREATED,AUTHOR_CREATED,STUDENT_PRACTICE,TEACHER_KEYED,,,,,true,AUTHORED_QA,HIGH,
