local_id,source_id_title,difficulty_badge,family_badge,mode_badge,stable_skill_ids,h1_notice,h2_recall,h3_start,stem_sha256,source_custody_status,answer_recomputation_status,method_coverage_status
B01,"2019 AIME I, Problem 1",BRIDGE,DIGITS,MIXED,NT-DIGIT-01; NT-DIGSUM-01,"A long sum of strings of 9s is best rewritten through powers of 10, not added digit-by-digit.","Review `NT-DIGIT-01 · Decimal place value, concatenation and deletion` and `NT-DIGSUM-01 · Digit-sum congruence and bounded digit sums` before continuing.",,cd8d2769c70cb467e21a12c849fd6d297a00aed303dc65f7054e27a94030a45b,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B02,"2019 AIME I, Problem 7",BRIDGE,PRIMES,MIXED,NT-GCD-01; NT-PRIME-01,The logarithms turn products into prime-exponent equations; the gcd controls the shared exponents.,"Review `NT-GCD-01 · Euclidean Algorithm, GCD and LCM` and `NT-PRIME-01 · Euclid's Lemma, FTA and prime-exponent thinking` before continuing.",,1d80122734335ac2793145436d6772e958c163c34ecfeb68b11f8d85f898b331,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B03,"2019 AIME I, Problem 9",BRIDGE,DIVISORS,MIXED,NT-DIVCNT-01; NT-COUNT-01,The equation tau(n)+tau(n+1)=7 leaves only a few divisor-count patterns.,Review `NT-DIVCNT-01 · Exponent vectors and divisor functions` and `NT-COUNT-01 · Fixed-multiplicity and digit-choice counting` before continuing.,,98ddf35c61b0a25bfee81800a0badf093ba26251ddd363eaec6ea83046f98497,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B04,"2019 AIME II, Problem 9",BRIDGE,DIVISORS,MIXED,NT-DIVCNT-01; NT-FILTER-01,Exactly 20 divisors means a short list of exponent patterns before the divisibility-by-20 condition is applied.,"Review `NT-DIVCNT-01 · Exponent vectors and divisor functions` and `NT-FILTER-01 · Parity, bounds, discriminants and admissibility filters` before continuing.",,0ec84d98d367e64c4e6599e884dbb6bfb3247f16261a1797a4b4ea877247357d,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B05,"2020 AIME I, Problem 10",BRIDGE,FACTORIALS,MIXED,NT-VAL-01; NT-PRIME-01,"The divisibility n^n | m^m is a prime-exponent comparison, and gcd(m+n,210)=1 removes small-prime coincidences.","Review `NT-VAL-01 · Valuations and Legendre's formula` and `NT-PRIME-01 · Euclid's Lemma, FTA and prime-exponent thinking` before continuing.",,e94da05acba1363e60cb82f45a9c0007d3954ed4dbc2739dc35c0020b07f8309,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B06,"2020 AIME II, Problem 1",BRIDGE,DIVISORS,MIXED,NT-POWER-01; NT-DIVCNT-01,Factor 20^20 and compare prime exponents in m^2n.,Review `NT-POWER-01 · Perfect powers and squarefree structure` and `NT-DIVCNT-01 · Exponent vectors and divisor functions` before continuing.,,667ca900b504a241d83731ec0d8086252504ed2082d5f17ae271004d33d70831,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B07,"2020 AMC 10B, Problem 24",CHALLENGE,DIOPHANTINE,MIXED,NT-FLOOR-01; NT-FILTER-01,Replace floor(sqrt n) by an integer k and convert the equation into an interval condition.,"Review `NT-FLOOR-01 · Floor functions as half-open intervals` and `NT-FILTER-01 · Parity, bounds, discriminants and admissibility filters` before continuing.","Set k=floor(sqrt n), so k^2<=n<(k+1)^2, and substitute n=70k-1000.",e3f40dda46adfc769250ae5c3942f2be3b185b19b8507c5518035b9bd595bbc9,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B08,"2020 AMC 10B, Problem 25",BRIDGE,DIVISORS,MIXED,NT-DIVCNT-01; NT-COUNT-01,"Ordered factorisations of 96 are compositions of its prime-exponent multiset, not just unordered divisor pairs.",Review `NT-DIVCNT-01 · Exponent vectors and divisor functions` and `NT-COUNT-01 · Fixed-multiplicity and digit-choice counting` before continuing.,,fab0d53eb8195e1b074a07b6e675aa13ac92da18064604ab3034a4b0cef6bb96,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B09,"2021 AIME II, Problem 1",CORE,NUMBER THEORY,TRANSFER,,"Three-digit palindromes are linear in the first and middle digits, so average by symmetry.",,,276af4d0abb85da0cdb6f08253f3ef6c6ee8fcf12ebddbd5cebce8d2d8806797,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B10,"2021 AIME II, Problem 3",BRIDGE,COUNTING,TRANSFER,NT-COUNT-01,The expression is cyclic and symmetric over a permutation; count by a structural invariant rather than 120 raw cases.,Review `NT-COUNT-01 · Fixed-multiplicity and digit-choice counting` before continuing.,,664aa95747d53b87a1b0f04685942dfd1e96a85893b93ac8afee5fc52af39363,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B11,"2022 AIME II, Problem 14",BRIDGE,DIOPHANTINE,MIXED,NT-DIO-LIN-01; NT-FILTER-01,The subcollection requirement is a coverage condition; small denominations force successive gap bounds.,"Review `NT-DIO-LIN-01 · Bezout and linear Diophantine equations` and `NT-FILTER-01 · Parity, bounds, discriminants and admissibility filters` before continuing.",,4b23cf73b8eab6b1a3c5ceb00e6154ebcccfa401b4539d5328f6f55c99ce277a,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B12,"2014 AIME I, Problem 8",CHALLENGE,MODULAR,ADVANCED BRIDGE,NT-CRT-01; NT-A02,Same four-digit ending is the idempotent congruence N^2 congruent to N modulo 10000.,"Review `NT-CRT-01 · Constructive CRT, including non-coprime moduli` and `NT-A02 · Idempotents: same ending for N and N^2` before continuing.",Split N^2 congruent to N modulo 10000 into mod 16 and mod 625.,a4e3d4cd37a36d9cd1c3fc20df49da74e1b9630a1d8e7b3a73dbd21deb751dcd,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B13,"2005 AMC 10A, Problem 24",BRIDGE,PRIMES,MIXED,NT-PRIME-01; NT-FACT-POW-01,Greatest prime factor equal to the square root forces a prime square.,"Review `NT-PRIME-01 · Euclid's Lemma, FTA and prime-exponent thinking` and `NT-FACT-POW-01 · Difference/sum-of-powers factorisation` before continuing.",,9b823fb55dddc5c9ff4a773f9307ab15d27cea08a8f3d7c6ad7d6b549418cfb7,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B14,"2021 AIME I, Problem 5",BRIDGE,DIOPHANTINE,MIXED,NT-FACT-SFFT-01; NT-FILTER-01,Center the arithmetic progression and turn the condition into a finite Diophantine equation.,"Review `NT-FACT-SFFT-01 · Manufactured factorisation and fixed-product forms` and `NT-FILTER-01 · Parity, bounds, discriminants and admissibility filters` before continuing.",,144cb17f338e3a4dd868324c872476da7814451da002f96e6daa9d548ed76ca1,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B15,"2016 AIME II, Problem 11",BRIDGE,DIVISORS,MIXED,NT-DIVCNT-01; NT-POWER-01,"For tau(a^k), every factor is 1 modulo k.",Review `NT-DIVCNT-01 · Exponent vectors and divisor functions` and `NT-POWER-01 · Perfect powers and squarefree structure` before continuing.,,7c7335c77bf7fe63ca3343cbed577141087e9db7fc45039eec0d6cdc94c210e0,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B16,"2008 AIME II, Problem 15",CHALLENGE,DIOPHANTINE,MIXED,NT-FACT-POW-01; NT-FILTER-01,Factor the difference of consecutive cubes before combining with the second square condition.,"Review `NT-FACT-POW-01 · Difference/sum-of-powers factorisation` and `NT-FILTER-01 · Parity, bounds, discriminants and admissibility filters` before continuing.",Write (m+1)^3-m^3 explicitly and equate it to n^2.,c130ef90d8ae603702f78e06a3c4a89fdfc0fb32c2212c8f78112f81c7e9f431,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B17,"2022 AIME I, Problem 2",BRIDGE,DIGITS,MIXED,NT-BASE-01; NT-DIGIT-01,Write the decimal and base-9 place-value equations for the same digit triple.,"Review `NT-BASE-01 · Other bases and digit validity` and `NT-DIGIT-01 · Decimal place value, concatenation and deletion` before continuing.",,09c0ad9bde8e5cbf8d31ddc0780eddad4b9637aa4814e581c8b030c3e5a2d7de,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B18,"2012 AIME I, Problem 1",CORE,NUMBER THEORY,TRANSFER,,Divisibility by 4 depends only on the final two digits of each orientation.,,,9bebdd8996430e84a12904558460c001252516d505dbf186135beca539d6e561,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B19,"2021 AMC 12A, Problem 5",CORE,NUMBER THEORY,TRANSFER,,The error between repeating and terminating decimals is a rational expression in the two-digit block.,,,793dce9cf32698f8b0fa5d4bcbed4667da08ce415479519ca613cdf77446aae8,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
B20,"2017 AIME I, Problem 9",CHALLENGE,MODULAR,MIXED,NT-REC-01; NT-MOD-01,Reduce the recurrence modulo 99 before iterating.,Review `NT-REC-01 · Affine recurrences modulo a target` and `NT-MOD-01 · Congruence arithmetic and cancellation legality` before continuing.,Use 100 congruent to 1 modulo 99 to obtain a_n congruent to a_{n-1}+n.,587111c878165f614cb2b38e195ddce66d91ae20d6946a837da18f8b3ff2d4b5,PASS_FROZEN_STEM,TO_REVERIFY_PHASE3,TO_AUDIT_PHASE3
